"row_idx","before","after","rule","text"
"121","기타","none","R6_meta","학교 교육방침에 협조해 주심에 감사드립니다."
"124","기타","none","R6_meta","학교 소식지를 정기적으로 발송해 드리겠습니다."
"140","기타","none","R6_meta","학교 운영위원회 회의 결과를 공지해 드립니다."
"188","준비물","기타","R2_app","안드로이드폰(삼성, LG 기종 등): 구글플레이스토어에서 '키즈콜2-학교' 설치"
"189","준비물","기타","R2_app","아이폰: App Store에서 '키즈콜2-학교' 설치"
"256","기타","건강·안전","R5_violence_steps","5) 보복하지 마세요."
"259","기타","건강·안전","R5_violence_steps","2) 부인하지 마세요."
"260","기타","건강·안전","R5_violence_steps","3) 잘못을 인정하세요."
"262","기타","건강·안전","R5_violence_steps","4) 정당화하지 마세요."
"263","기타","건강·안전","R5_violence_steps","5) 포기하지 마세요."
"264","기타","건강·안전","R5_violence_steps","6) 진심으로 사과하세요."
"272","준비물","기타","R2_device","배부된 단말기는 등록 후 학생 가방 외부에 잘 보이도록 부착해 주세요."
"760","기타","건강·안전","R5_safety_reporting","신고 시 신고자의 이름, 연락처 제공"
"761","기타","건강·안전","R5_safety_reporting","신고 시 아동의 이름, 성별, 나이, 주소 제공"
"762","기타","건강·안전","R5_safety_reporting","신고 시 학대행위자로 의심되는 사람의 이름, 성별, 나이, 주소 제공"
"763","기타","건강·안전","R5_safety_reporting","신고 시 아동이 위험에 처해있거나 학대를 받고 있다고 믿는 이유 제공"
"764","기타","건강·안전","R5_safety_reporting","아동학대 신고: 전화 국번 없이 112"
"765","기타","건강·안전","R5_safety_reporting","아동학대 신고: 방문 관할 지역아동보호전문기관"
"766","기타","건강·안전","R5_safety_reporting","아동학대 신고: 스마트폰 '목격자를 찾습니다' 앱 내의 아동학대 신고 코너"
"807","준비물","기타","R2_app","STEP 1: 구글 플레이스토어 및 아이폰 앱스토어에서 ""T안심알리미"" 검색 후 설치"
"810","준비물","기타","R2_device","STEP 3: 서비스 이용 및 부보호자 등록 및 단말기 가방에 달기"
"811","준비물","기타","R2_device","단말기 가방에 달기"
"874","준비물","기타","R2_device","단말기 수령 시 사용 설명서 꼭 읽어보시고, 가방에 달아 주세요."
"1266","준비물","건강·안전","R4_health","접종자 주민등록번호 확인(예방접종 수첩 지참)합니다."
"1727","준비물","기타","R2_device","단말기는 수령 후 동봉된 사용설명서와 같이 단말기 번호 등록 후 가방에 착용해 주시기 바랍니다."
"2247","준비물","제출","R3_documents","지원서 사진: 최근 6개월 이내 사진 스캔하여 첨부"
"2476","준비물","건강·안전","R4_health","예방접종 수첩 지참"
"2619","준비물","기타","R2_device","택배 수령 후 단말기는 직접 등록후 학생 가방에 착용합니다."
"3224","준비물","제출","R3_documents","구비서류 : 입후보자 신청서, 개인정보수집 이용 동의서, 제3자 제공 동의서(위 3가지 양식은 교무실에 구비되어 있음), 사진(3x4)1매"
"3309","준비물","제출","R3_documents","맞벌이: 재직증명서"
"3310","준비물","제출","R3_documents","저소득층: 주민센터(의료보험 납입 관련)"
"3311","준비물","제출","R3_documents","한부모가정: 주민센터 발급증명서(가족관계증명서 등)"
"3316","준비물","제출","R3_documents","구비서류 : 입후보자 등록서, 개인정보동의서, 행정정보 사전동의서 (위 3가지 서류는 교무실에 구비되어 있음), 사진(3x4) 1매 필수지참"
"3325","준비물","제출","R3_documents","준비물: 동사무소에서 발부한 취학통지서"
"3376","준비물","건강·안전","R4_health","등교시 마스크 착용부탁드립니다."
"3497","준비물","기타","R2_app","부모 및 자녀 스마트폰의 국내 오픈마켓(원스토어)에서 '사이버안심존'을 다운로드하여 설치해주세요."
"3498","준비물","기타","R2_app","부모 및 자녀 스마트폰의 국내 오픈마켓(원스토어)에서 '스마트안심드림'을 다운로드하여 설치해주세요."
"3499","준비물","기타","R2_app","그린아이넷홈페이지(www.greeninet.or.kr)에 접속하여 설치할 소프트웨어 종류 선택 및 다운로드하여 설치해주세요."
"3500","준비물","기타","R2_app","부모 및 자녀 스마트폰의 국내 오픈마켓(원스토어)에서 '사이버안심존'을 다운로드하여 설치"
"3501","준비물","기타","R2_app","부모 및 자녀 스마트폰의 국내 오픈마켓(원스토어)에서 '스마트안심드림'을 다운로드하여 설치"
"3502","준비물","기타","R2_app","그린아이넷홈페이지(www.greeninet.or.kr)에 접속하여 설치할 소프트웨어 종류 선택 및 다운로드하여 설치"
"3566","준비물","제출","R3_documents","ㅇ 작품설명서 작성 규격 - A4용지로 좌철제본 편집하며 목차에는 쪽 번호를 반드시 기재"
"3568","준비물","제출","R3_documents","ㅇ 작품설명서 작성 시 권장사항 - 제작 동기, 목적, 제작과정, 전망, 효과, 활용성을 체계적으로 기술할 것"
"3639","준비물","기타","R2_device","학생 책가방 외부에 단말기 착용"
"3793","준비물","기타","R2_zoom","스마트폰(태블릿 PC)으로 참여 앱스토어 또는 플레이스토어에서 ZOOM Cloud Meetings 앱 설치"
"3800","준비물","기타","R2_zoom","앱스토어 또는 플레이스토어에서 ""ZOOM Cloud Meetings""앱 설치"
"3810","준비물","none","R1_syllabus","로블록스 스튜디오 설치하기"
